prompt_id,category,type,title,model_name,run_number,open_weights,full_cot,max_tokens,total_score,criteria_met_count,criteria_total_count,success_rate,tokens_output,tokens_reasoning,tokens_completion,char_output,char_reasoning,char_completion,output_entropy,output_bzip2_length,output_bzip2_ratio,output_entropy_ratio,thinking_entropy,thinking_bzip2_length,thinking_bzip2_ratio,thinking_entropy_ratio
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t0.0,1,True,True,60000,1,1,1,1,643,1961,2604,1138,7239,8377,4.79618,654,0.49358,0.59952,4.72524,2965,0.29576,0.59066
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t0.0,2,True,True,60000,1,1,1,1,1088,2626,3714,1419,9661,11080,4.9348,727,0.46843,0.61685,4.78955,2020,0.34756,0.59869
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t0.0,3,True,True,60000,1,1,1,1,798,2683,3481,1325,10025,11350,4.87985,713,0.50247,0.60998,4.88708,3206,0.33185,0.61089
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t0.0,4,True,True,60000,1,1,1,1,985,1560,2545,1552,5812,7364,4.85062,557,0.48946,0.60633,4.74803,2360,0.32601,0.5935
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t0.0,5,True,True,60000,1,1,1,1,746,1712,2458,1185,6336,7521,4.90682,593,0.50042,0.61335,4.86272,2196,0.34659,0.60784
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t1.4,1,True,True,60000,1,1,1,1,2002,3714,5716,1759,13680,15439,4.74805,637,0.44922,0.59351,5.00761,4636,0.30005,0.62595
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t1.4,2,True,True,60000,1,1,1,1,2113,4254,6367,1418,15451,16869,4.82736,758,0.43093,0.60342,4.962,4451,0.32537,0.62025
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t1.4,3,True,True,60000,1,1,1,1,1987,3577,5564,1628,13168,14796,4.82024,721,0.44287,0.60253,5.00641,4251,0.32283,0.6258
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t1.4,4,True,True,60000,1,1,1,1,2892,5816,8708,1545,20805,22350,4.7905,678,0.43883,0.59881,5.0433,6145,0.29536,0.63041
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t1.4,5,True,True,60000,1,1,1,1,2255,5465,7720,1915,19784,21699,4.90116,895,0.46736,0.61265,5.04084,6487,0.32789,0.63011
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t1.0,1,True,True,60000,1,1,1,1,2602,4955,7557,1697,18265,19962,4.81776,740,0.43606,0.60222,5.03231,5403,0.29581,0.62904
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t1.0,2,True,True,60000,1,1,1,1,3458,6129,9587,1558,22016,23574,4.80871,700,0.43157,0.60109,4.9715,4068,0.30354,0.62144
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t1.0,3,True,True,60000,1,1,1,1,2125,3487,5612,1884,12644,14528,4.80074,686,0.42293,0.60009,5.01946,4660,0.29608,0.62743
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t1.0,4,True,True,60000,1,1,1,1,1933,3658,5591,1622,13402,15024,4.6501,618,0.39666,0.58126,5.09052,6481,0.29438,0.63632
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t1.0,5,True,True,60000,1,1,1,1,2085,4407,6492,1622,15739,17361,4.8396,797,0.42304,0.60495,5.05502,4058,0.32094,0.63188
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t0.6,1,True,True,60000,1,1,1,1,2827,4732,7559,1483,17653,19136,4.8119,640,0.43156,0.60149,5.11764,5348,0.30295,0.63971
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t0.6,2,True,True,60000,1,1,1,1,1962,4147,6109,1547,14995,16542,4.79602,642,0.4589,0.5995,5.06614,5783,0.30811,0.63327
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t0.6,3,True,True,60000,1,1,1,1,2711,5115,7826,1798,18693,20491,4.79178,675,0.43633,0.59897,4.9694,4407,0.2939,0.62117
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t0.6,4,True,True,60000,1,1,1,1,2638,5137,7775,1399,18769,20168,4.85524,777,0.43215,0.6069,5.02962,5458,0.29198,0.6287
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t0.6,5,True,True,60000,1,1,1,1,1962,4024,5986,1352,14694,16046,4.78059,598,0.44231,0.59757,4.98157,4429,0.30142,0.6227
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t0.3,1,True,True,60000,1,1,1,1,1857,4285,6142,1613,15485,17098,4.80109,690,0.42777,0.60014,4.95697,4584,0.29603,0.61962
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t0.3,2,True,True,60000,1,1,1,1,1722,3265,4987,1884,11884,13768,4.76639,770,0.4087,0.5958,5.00293,3741,0.31479,0.62537
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t0.3,3,True,True,60000,1,1,1,1,2234,3705,5939,1919,13442,15361,4.7989,823,0.42887,0.59986,5.02839,4148,0.30859,0.62855
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t0.3,4,True,True,60000,1,1,1,1,2497,4668,7165,1536,17357,18893,4.80689,694,0.45182,0.60086,5.00224,5058,0.29141,0.62528
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t0.3,5,True,True,60000,1,1,1,1,2599,4860,7459,1363,17862,19225,4.81442,597,0.438,0.6018,5.02963,5409,0.30282,0.6287
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t0.0,1,True,True,60000,1,1,1,1,2542,4254,6796,1643,15444,17087,4.81264,662,0.43783,0.60158,4.99579,4304,0.29742,0.62447
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t0.0,2,True,True,60000,1,1,1,1,2693,4696,7389,1391,17024,18415,4.79887,624,0.4486,0.59986,5.05497,5310,0.31191,0.63187
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t0.0,3,True,True,60000,1,1,1,1,1792,4010,5802,1512,14471,15983,4.83811,702,0.42727,0.60476,5.09859,4980,0.32246,0.63732
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t0.0,4,True,True,60000,1,1,1,1,2192,4461,6653,1249,16572,17821,4.83461,580,0.46437,0.60433,5.00853,4990,0.30111,0.62607
AIME2025I_P2_modified,AIME2025mod,Math,Find the sum,ds-r1-0528-t0.0,5,True,True,60000,1,1,1,1,2546,5019,7565,1474,18175,19649,4.79657,657,0.44573,0.59957,5.01948,5348,0.29425,0.62743
